what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.net",1365768532432
started,bundle,org.eclipse.mylyn.commons.notifications.core,0.9.1.v20120425-0100,"org.eclipse.mylyn.commons.notifications.core",1365768532432
started,bundle,org.eclipse.mylyn.commons.notifications.feed,0.9.1.v20120425-0100,"org.eclipse.mylyn.commons.notifications.feed",1365768532433
started,bundle,org.eclipse.mylyn.commons.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.ui",1365768532433
started,bundle,org.eclipse.mylyn.commons.workbench,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.workbench",1365768532434
started,bundle,org.eclipse.mylyn.context.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.core",1365768532434
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.tasks.ui",1365768532435
started,bundle,org.eclipse.mylyn.monitor.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.monitor.ui",1365768532435
started,bundle,org.eclipse.mylyn.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.ui",1365768532436
started,bundle,org.eclipse.mylyn.team.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.team.ui",1365768532437
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1365768532437
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1365768532438
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1365768532439
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1365768532454
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1365768532455
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1365768532457
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1365768532457
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1365768532458
started,bundle,org.eclipse.cdt.core,5.2.1.201102110609,"org.eclipse.cdt.core",1365768532459
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1365768532459
started,bundle,org.eclipse.cdt.make.core,7.0.1.201102110609,"org.eclipse.cdt.make.core",1365768532460
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.2.201102110609,"org.eclipse.cdt.managedbuilder.core",1365768532461
os,sysinfo,,,"macosx",1365768532464
arch,sysinfo,,,"x86_64",1365768532464
ws,sysinfo,,,"cocoa",1365768532464
locale,sysinfo,,,"sv_SE",1365768532464
processors,sysinfo,,,"2",1365768532464
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1365768532464
java.runtime.version,sysinfo,,,"1.6.0_43-b01-447-11M4203",1365768532464
java.specification.name,sysinfo,,,"Java Platform API Specification",1365768532464
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1365768532464
java.specification.version,sysinfo,,,"1.6",1365768532464
java.vendor,sysinfo,,,"Apple Inc.",1365768532464
java.version,sysinfo,,,"1.6.0_43",1365768532464
java.vm.info,sysinfo,,,"mixed mode",1365768532464
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1365768532464
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1365768532464
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1365768532464
java.vm.specification.version,sysinfo,,,"1.0",1365768532464
java.vm.vendor,sysinfo,,,"Apple Inc.",1365768532464
java.vm.version,sysinfo,,,"20.14-b01-447",1365768532464
started,bundle,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui",1365768532575
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui",1365768532579
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1365768535511
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1365768535825
